"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI GOA S. Prey Yellowfin rock sole sole juv,,AI Yellowfin sole,,,AI Flathead sole juv,,,AI Flathead sole,,,GOA AI N. rock Alaska sole AI S. rock sole,,AI Alaska plaice,,EBS Yellowfin sole juv,,EBS Yellowfin sole,,,EBS Flathead sole juv,,,EBS Flathead sole,,,EBS N. rock sole juv,,,EBS N. rock sole,,EBS Alaska plaice,,,GOA Yellowfin sole,,,GOA Flathead sole juv,,,GOA Flathead sole,,,,GOA N. rock sole,,,,plaice
King crab*,,,,,,,,,,,,,2.29%,,,,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow crab*,,,,,,,,,,,,,,,,,0.66%,,,0.00%,,,0.96%,,,,,,0.05%,,0.60%,,,,,,,,,,,,,,,,,
Pandalid shrimp 0.00%,,0.96%,,,,,,0.58%,,,,,,,0.00%,,0.02%,,,6.15%,,,10.85%,,,0.16%,,,0.03%,,,,,,,,1.80%,,,47.08%,,,,,,,,
Non-Pandalid shrimp 3.49%,,4.90%,,,,,,82.45%,,,7.00% 2.76%,,2.32%,,6.07%,,7.34%,,,11.12%,,,10.15%,,,1.02%,,,3.10%,,0.01%,,,5.69%,,,9.75%,,,10.42%,,,,1.01%,,4.46%,,0.01%
Sea star,,0.00%,,,,,,,,,3.72%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,0.05%,,0.00%
Brittle star 5.85%,,2.14%,,,,,,0.37%,,,2.48% 1.43%,,1.95%,,1.02%,,3.18%,,,14.16%,,,24.77%,,,0.09%,,,1.26%,,0.17%,,,4.21%,,,14.94%,,,18.17%,,,,7.81%,,10.42%,,0.17%
Urchins dollars and cucumbers 12.67%,,2.82%,,,,,,,,,4.77% 10.20%,,2.32%,,2.20%,,4.62%,,,,,,0.03%,,,0.61%,,,2.27%,,1.51%,,,2.19%,,,,,,,,,,10.57%,,12.89%,,1.51%
Snails 3.84%,,6.31%,,,,,,,,,10.06% 1.54%,,9.91%,,0.67%,,1.05%,,,,,,2.00%,,,0.02%,,,0.14%,,0.35%,,,0.11%,,,,,,0.27%,,,,1.62%,,0.02%,,0.35%
Hermit crabs 1.48 %,,1.56%,,,,,,0.25%,,,7.36% 1.62%,,5.33%,,0.02%,,2.59%,,,0.00%,,,1.60%,,,0.00%,,,0.56%,,0.01%,,,10.86%,,,5.06%,,,5.23%,,,,1.01%,,2.07%,,0.01%
Misc crabs 3.76%,,1.10%,,,,,,,,,7.94% 1.77%,,5.04%,,0.07%,,0.18%,,,0.00%,,,0.12%,,,,,,0.11%,,0.03%,,,0.30%,,,,,,0.89%,,,,1.64%,,3.58%,,0.03%
Misc. Crustacean 2.50%,,5.67%,,,100.00%,,,,,,9.26% 4.68%,,3.96%,,43.52%,,0.94%,,,1.23%,,,0.13%,,,0.44%,,,1.22%,,0.17%,,,0.56%,,,,,,0.27%,,,,1.52%,,5.83%,,0.17%
Benthic amphipods 13.14%,,4.54%,,,,,,,,,5.35% 10.00%,,5.66%,,20.85%,,7.53%,,,27.43%,,,2.34%,,,34.86%,,,9.57%,,9.97%,,,1.13%,,,0.02%,,,0.59%,,,,9.26%,,13.59%,,9.97%
Benth. Hydroid 2.32%,,3.05%,,,,,,,,,,,,,0.00%,,0.01%,,,,,,0.00%,,,,,,0.00%,,,,,,,,,,,,,,,,,,,
Benth. Urochordata 2.89%,,3.47%,,,,,,,,,3.20% 2.53%,,2.83%,,0.50%,,0.53%,,,0.00%,,,0.13%,,,0.09%,,,0.07%,,0.05%,,,,,,,,,,,,,0.51%,,0.03%,,0.05%
Sponge,,1.76%,,,,,,,,,,,0.00%,,,,0.03%,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,0.00%
Bivalves 3.06%,,1.26%,,,,,,4.52%,,,1.90% 11.32%,,3.75%,,5.33%,,11.52%,,,0.18%,,,2.42%,,,6.12%,,,7.31%,,15.50%,,,42.04%,,,,,,6.98%,,,,4.71%,,11.13%,,15.50%
Polychates 8.18%,,1.53%,,,,,,0.61%,,,2.77% 1.41%,,6.56%,,14.23%,,25.27%,,,1.16%,,,3.88%,,,53.63%,,,47.24%,,58.41%,,,32.51%,,,14.94%,,,1.33%,,,,56.33%,,28.76%,,58.41%
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. worm etc. 4.86%,,0.94%,,,,,,11.22%,,,2.26% 3.66%,,3.81%,,0.85%,,15.62%,,,1.01%,,,0.55%,,,0.64%,,,11.00%,,12.32%,,,,,,,,,1.01%,,,,3.02%,,2.60%,,12.32%
Scyphozoid jellies,,1.53%,,,,,,,,,,,1.74%,,,,0.51%,,,,,,0.00%,,,,,,0.01%,,0.00%,,,,,,,,,,,,,,,,,0.00%
Fish larvae 1.64%,,0.00%,,,,,,,,,,,0.00%,,0.00%,,0.00%,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,0.00%
Chaetognaths etc.,,4.08%,,,,,,,,,,,,,,,0.01%,,,0.25%,,,0.09%,,,,,,0.00%,,,,,,,,7.47%,,,,,,,,,0.06%,,
Euphausiids 1.50%,,0.83%,,,,,,,,,5.36% 0.00%,,14.12%,,2.62%,,13.83%,,,15.21%,,,11.67%,,,0.53%,,,1.25%,,0.11%,,,0.31%,,,25.30%,,,3.41%,,,,0.09%,,0.00%,,0.11%
Mysids 6.26%,,2.99%,,,,,,,,,,,0.00%,,1.09%,,0.49%,,,19.59%,,,4.60%,,,1.69%,,,0.13%,,0.00%,,,,,,17.94%,,,0.83%,,,,0.03%,,,,0.00%
Pelagic amphipods 2.16%,,2.61%,,,,,,,,,0.00%,,0.00%,,0.00%,,0.04%,,,0.01%,,,0.02%,,,0.00%,,,0.00%,,0.00%,,,,,,,,,,,,,0.00%,,1.57%,,0.00%
Pel. gel. filter feeder 0.00%,,2.69%,,,,,,,,,,,8.03%,,0.00%,,0.19%,,,0.00%,,,0.00%,,,,,,0.05%,,0.00%,,,,,,,,,,,,,,,,,0.00%
Pteropods 0.00%,,2.81%,,,,,,,,,11.80%,,0.00%,,0.00%,,0.42%,,,0.58%,,,0.00%,,,,,,0.05%,,0.00%,,,,,,,,,,,,,0.19%,,,,0.00%
Copepods 2.52%,,0.98%,,,,,,,,,0.00% 4.14%,,0.00%,,0.44%,,0.02%,,,0.39%,,,0.01%,,,0.00%,,,0.01%,,0.00%,,,0.04%,,,0.25%,,,,,,,0.00%,,0.01%,,0.00%
Microzooplankton 2.02%,,2.25%,,,,,,,,,,,10.33%,,0.02%,,0.04%,,,0.00%,,,0.00%,,,0.00%,,,0.03%,,0.01%,,,,,,,,,,,,,,,,,0.01%
Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,
Offal,,2.41%,,,,,,,,,,,,,,,4.62%,,,5.28%,,,2.14%,,,,,,3.87%,,,,,,,,,,,5.47%,,,,,,6.91%,,
